1, 374, 368, 15
6, 24, 23, 23
7, 137, 136, 21
5, 607, 607, 607
3, 787, 786, 269
12, 127, 126, 80
11, 109, 109, 109
13, 403, 402, 402
22, 43, 43, 32
24, 268, 268, 268
17, 1033, 1031, 81
35, 202, 201, 58
37, 399, 399, 399
38, 216, 216, 216
42, 113, 112, 79
47, 83, 82, 82
46, 127, 127, 127
50, 269, 268, 28
48, 718, 717, 362
56, 64, 64, 64
59, 103, 103, 103
58, 269, 269, 269
54, 932, 931, 216
68, 94, 93, 93
69, 86, 85, 84
57, 1305, 1304, 1304
72, 115, 115, 115
43, 3195, 3195, 3195
74, 83, 83, 83
82, 28, 28, 28
86, 85, 85, 22
28, 6067, 6066, 123
81, 730, 729, 17
66, 2454, 2453, 113
36, 5631, 5629, 5629
52, 4731, 4731, 89
87, 1400, 1399, 1399
15, 8886, 8886, 8086
44, 6225, 6223, 144
80, 3177, 3177, 61
25, 9119, 9119, 37
85, 3207, 3206, 3206
62, 6254, 6253, 128
23, 10379, 10379, 10379
10, 12284, 12284, 12284
61, 7296, 7295, 7295
18, 12126, 12125, 8478
45, 9841, 9840, 9840
63, 8711, 8710, 20
40, 11121, 11120, 6558
26, 12574, 12574, 12574
71, 8553, 8552, 8552
67, 9287, 9286, 9286
39, 12566, 12566, 34
77, 9659, 9658, 102
51, 12845, 12845, 12845
20, 16116, 16114, 7534
21, 16375, 16373, 335
0, 19384, 19383, 513
55, 14163, 14162, 14162
30, 17952, 17951, 516
31, 18120, 18119, 86
64, 15340, 15338, 15338
88, 14063, 14062, 14062
76, 15381, 15380, 3072
60, 17434, 17433, 156
34, 20605, 20604, 20604
14, 22892, 22891, 11344
2, 24327, 24326, 19727
16, 23460, 23459, 34
70, 18392, 18391, 18391
84, 17252, 17251, 35
49, 21800, 21799, 8233
53, 21666, 21666, 84
78, 20265, 20264, 96
29, 25682, 25681, 73
65, 22718, 22717, 138
33, 26251, 26250, 26250
19, 28208, 28207, 28207
8, 29850, 29849, 36
73, 23704, 23703, 37
4, 31169, 31168, 103
32, 29066, 29065, 29065
27, 29840, 29839, 215
9, 32111, 32110, 285
83, 25244, 25243, 15290
79, 26391, 26389, 11334
41, 30480, 30478, 138
75, 27722, 27720, 107
89, 26745, 26744, 26744
134
