0, 17, 16, 16
1, 16, 11, 11
2, 676, 675, 92
3, 646, 646, 646
4, 1348, 1347, 844
5, 1272, 1272, 1262
6, 1621, 1620, 1527
8, 1784, 1784, 1784
7, 1847, 1847, 1834
9, 1749, 1749, 1749
10, 1860, 1860, 1659
12, 2234, 2233, 1879
11, 2655, 2653, 2328
13, 3949, 3948, 3033
14, 4750, 4749, 4023
16, 4749, 4749, 4749
15, 4973, 4972, 4727
18, 5191, 5190, 5017
19, 5244, 5243, 5160
17, 5919, 5918, 5249
20, 5682, 5681, 5666
21, 5837, 5836, 5631
22, 5979, 5978, 5774
23, 6932, 6930, 5940
24, 6881, 6881, 6881
26, 7067, 7066, 6831
25, 7181, 7180, 7039
27, 7064, 7064, 7064
30, 7629, 7628, 7063
28, 8343, 8341, 7916
29, 9175, 9173, 8247
32, 9200, 9199, 8978
31, 9785, 9784, 9690
34, 10266, 10265, 9716
33, 10807, 10805, 10287
35, 10884, 10883, 10757
36, 11804, 11802, 10919
37, 12216, 12215, 11806
38, 12197, 12196, 12086
41, 12854, 12852, 12081
39, 13051, 13050, 12862
40, 13634, 13632, 13192
43, 13729, 13728, 13540
42, 14262, 14261, 13647
44, 14148, 14148, 14132
45, 14299, 14299, 14063
46, 14509, 14508, 14320
47, 15335, 15333, 14498
48, 15760, 15760, 15634
50, 15965, 15964, 15728
51, 16263, 16262, 16025
49, 16511, 16510, 16400
52, 16721, 16720, 16595
53, 16689, 16688, 16467
55, 16760, 16759, 16742
56, 17064, 17063, 16748
54, 17532, 17531, 17327
58, 17699, 17698, 17414
57, 17727, 17727, 17727
59, 17993, 17993, 17678
60, 17945, 17945, 17945
63, 18648, 18647, 17973
61, 19291, 19289, 18616
62, 19536, 19535, 19299
64, 20449, 20448, 19554
65, 20948, 20947, 20429
66, 21045, 21044, 21044
68, 21767, 21765, 20808
67, 22260, 22259, 21850
69, 22588, 22588, 22007
